ID,Met,Norte,Rio,Sor,Socc,Valor de vivienda,Area,Habitaciones,Garajes,Baños,Casa,Apartamento,E_Bajo,E_Medio,E_Alto,D_Parques,D_salud,D_Comercios,D_Centros educativos,D_Transmetro ,D_Bus,R_Bajo,R_Medio,R_Alto,S_Bajo,S_Medio,S_Alto,Residencial,Comercial,Institucional,Otros,Densidad
144,0,0,1,0,0,3200,700,4,3,7,1,0,0,0,1,109.00,140.00,247.00,160.00,248.00,105.00,1,0,0,0,0,1,1,0,0,0,0.01
145,0,0,1,0,0,1350,400,3,2,3,1,0,0,0,1,28.00,45.00,189.00,74.00,172.00,22.00,1,0,0,0,0,1,1,0,0,0,0.00
146,0,0,1,0,0,2000,360,3,3,4,0,1,0,0,1,143.00,202.00,96.00,287.00,206.00,114.00,0,1,0,0,0,1,1,0,0,0,0.00
147,0,0,1,0,0,290,74,3,1,2,0,1,0,1,0,22.00,183.00,124.00,405.50,406.00,35.00,1,0,0,0,0,1,1,0,0,0,0.07
148,0,0,1,0,0,360,87,3,1,3,0,1,0,1,0,122.00,130.00,396.30,637.10,413.00,11.90,1,0,0,0,0,1,1,0,0,0,0.04
149,0,0,1,0,0,575,180,4,0,3,1,0,0,1,0,108.00,651.00,210.90,396.00,436.00,39.30,1,0,0,0,0,1,1,0,0,0,0.02
150,0,0,1,0,0,330,75,3,1,1,0,1,0,1,0,27.00,113.00,371.80,520.60,567.00,11.60,1,0,0,0,0,1,1,0,0,0,0.04
151,0,0,1,0,0,380,74,3,1,2,0,1,0,0,1,119.00,200.00,412.60,641.30,601.00,10.70,1,0,0,0,0,1,1,0,0,0,0.04
152,0,0,1,0,0,900,174.76,3,2,3,0,1,0,0,1,108.00,503.00,130.70,378.80,154.00,13.00,1,0,0,0,0,1,1,0,0,0,0.02
153,0,0,1,0,0,495,89,3,1,3,0,1,0,1,0,34.00,335.00,519.70,796.30,627.00,83.20,1,0,0,0,0,1,1,0,0,0,0.00
154,0,0,1,0,0,300,72,3,1,2,0,1,0,1,0,16.00,267.00,72.80,261.90,341.00,34.40,1,0,0,0,0,1,1,0,0,0,0.02
155,0,0,1,0,0,315,90,3,1,2,0,1,0,1,0,58.00,406.00,12.10,229.30,192.00,4.70,1,0,0,0,0,1,1,0,0,0,0.03
156,0,0,1,0,0,380,67,2,1,2,0,1,0,1,0,41.00,341.00,534.60,807.10,619.00,89.80,1,0,0,0,0,1,1,0,0,0,0.00
157,0,0,1,0,0,285,72,3,1,2,0,1,0,1,0,19.00,137.00,331.00,461.40,594.00,7.80,1,0,0,0,0,1,1,0,0,0,0.07
158,0,0,1,0,0,340,78,3,0,2,0,1,0,1,0,126.00,248.00,231.80,395.30,540.00,24.40,1,0,0,0,0,1,1,0,0,0,0.06
